LotArea,TotalBsmtSF,FirstFlrSF,GrLivArea,SalePrice
31770,1080,1656,1656,215000
11622,882,896,896,105000
14267,1329,1329,1329,172000
11160,2110,2110,2110,244000
13830,928,928,1629,189900
9978,926,926,1604,195500
4920,1338,1338,1338,213500
5005,1280,1280,1280,191500
5389,1595,1616,1616,236500
7500,994,1028,1804,189000
10000,763,763,1655,175900
7980,1168,1187,1187,185000
8402,789,789,1465,180400
10176,1300,1341,1341,171500
6820,1488,1502,1502,212000
53504,1650,1690,3279,538000
12134,559,1080,1752,164000
11394,1856,1856,1856,394432
19138,864,864,864,141000
13175,1542,2073,2073,210000
11751,1844,1844,1844,190000
10625,1053,1173,1173,170000
7500,814,814,1674,216000
11241,1004,1004,1004,149000
12537,1078,1078,1078,149900
8450,1056,1056,1056,142000
8400,882,882,882,126000
10500,864,864,864,115000
5858,1405,1337,1337,184000
1680,483,483,987,96000
1680,525,525,1092,105500
1680,525,525,1092,88000
4043,1069,1069,1069,127500
2280,855,855,1456,149900
2280,836,836,836,120000
2280,855,855,1456,146000
12858,1590,1627,2334,376162
11478,1704,1704,1704,306000
10159,1930,1940,1940,395192
12883,1544,1544,1544,290941
12182,1541,1541,1541,220000
11520,1698,1698,1698,275000
14122,1822,1822,1822,259000
10171,1517,1535,1535,214000
12919,2330,2364,2364,611657
6371,1358,1358,1358,224000
14300,2846,2696,2696,500000
13650,1671,1687,2250,320000
7658,1752,1752,1752,319900
7132,1370,1370,1370,205000
2628,764,764,1626,175500
18494,1324,1324,1324,199500
3203,1145,1145,1145,160000
3182,1256,1269,1269,192000
13300,384,744,1374,184500
7851,860,860,1960,216500
8577,847,847,1733,185088
7750,384,774,1430,180000
9505,884,884,2035,222500
14774,1393,1422,2599,333168
17433,1629,1645,2475,355000
10593,1720,1720,1720,260400
12256,1463,1500,2622,325000
11764,1152,1164,2270,290000
16770,1195,1195,1839,221000
14720,2033,2053,3238,410000
8987,1595,1595,1595,221500
9215,1218,1218,1218,204500
8640,756,764,1547,215200
9000,1566,1566,1566,262500
12552,991,991,1947,254900
10440,1468,1468,1468,271500
10142,956,956,2084,233000
11920,831,831,1659,181000
8880,948,1222,2110,205000
8012,923,923,923,143000
11218,1055,1055,1845,189000
7892,918,918,918,99500
7175,744,752,752,125000
9453,996,1014,1744,194500
9672,1040,1097,1097,152000
8400,650,888,1564,171000
9800,816,1012,1012,67500
8930,0,1318,1902,112000
11782,1109,1155,1155,148000
8450,894,894,894,138500
9819,882,900,900,122000
7500,1040,1040,1040,133000
6897,1040,1040,1040,127000
15410,1208,1494,1494,169000
10186,750,1061,1923,190000
13143,1231,1251,2349,362500
11134,1390,1402,2225,285000
4835,1488,1488,1488,260000
3515,840,840,1680,190000
3215,600,600,1200,155000
3182,600,600,1200,151000
2544,600,600,1200,149500
2544,600,600,1236,152000
4403,1470,1478,1478,222000
2117,756,769,1573,177500
2980,756,756,1512,177000
2572,696,696,1416,155000
2403,530,530,1080,147110
12853,1642,1418,1418,267916
7379,975,975,1848,254000
4420,728,788,788,155000
3880,1226,1226,1226,206000
13517,725,725,1479,130500
8000,1492,1492,1492,230000
10456,1829,1829,1829,218500
10791,1280,1280,2495,243500
10603,1610,1610,1610,205000
18837,1224,1287,1891,212500
10421,980,980,1714,196500
9360,1161,1381,1381,197500
9600,715,930,1645,171000
9600,1232,1232,1232,142250
9790,1328,1328,1328,143000
9320,950,1225,1225,128950
9900,1209,1209,1209,159000
9680,1510,1510,1510,178900
10600,533,1131,1775,136300
14112,1152,1152,1152,180500
8800,936,1054,1054,137500
13260,1728,1728,1728,84900
9717,1078,1078,1078,142125
9724,1140,1929,2461,197600
17360,782,1019,1556,172500
7207,858,858,858,116500
5350,728,1306,1306,76500
9920,1056,1063,1063,128000
9600,1156,1520,1520,153000
7800,1268,1268,1268,132000
11380,1080,1128,1128,178000
11600,1105,1105,2274,154300
19900,1947,2207,2207,180000
16492,1517,1888,1888,190000
8267,1604,1604,1604,135000
8197,1480,1480,1480,214000
8050,1143,1143,1143,136000
10552,1398,1700,1700,165500
8400,1314,1314,1314,145000
8760,1194,1194,1194,148000
12160,1188,1188,1188,142000
9300,1268,1264,1264,167500
10725,1206,1206,1206,108538
10032,1244,1580,1580,159500
8382,832,832,1337,108000
10950,864,1064,1064,135000
10895,972,972,972,122500
13587,988,988,988,119000
7922,1057,1057,1057,109000
7898,576,985,985,105000
7200,0,827,827,107500
10200,1086,1086,1086,144900
5868,936,936,936,129000
17503,912,912,1458,97500
6979,1056,1056,1056,144000
9830,1063,1287,1287,162000
11275,710,1898,2978,242000
8064,816,816,1224,132000
7500,1246,1246,1246,154000
8520,910,910,1385,166000
7200,900,900,900,134800
10000,1116,1116,1116,160000
7635,1175,1175,1175,148000
9760,1395,1395,1395,192000
7700,756,1051,1839,155000
4800,709,1157,1844,80400
8800,576,792,1140,96500
4485,936,936,936,109500
8960,1008,1028,1028,115000
5805,1347,1347,1347,143000
5790,840,840,1605,107400
4608,747,747,747,80000
7200,788,804,804,119000
5500,926,926,1316,130000
6900,827,827,1251,119000
11851,1027,1027,1633,129000
8239,1008,1060,1245,100000
9656,678,832,832,12789
8520,624,720,720,105900
9600,930,930,1566,150000
10800,686,966,1652,139000
9000,346,1157,2268,240000
9045,840,1128,2256,76500
7407,912,1236,1236,149700
7740,622,741,1363,125500
11340,777,1246,2290,122500
10560,738,868,1470,140750
5830,988,1030,1612,128500
7793,1108,1160,2068,209500
5000,765,765,765,87000
6000,608,608,1132,134000
6000,572,848,1196,128000
6360,835,955,1453,132000
6000,780,780,1416,139900
6240,528,548,1040,123900
6240,928,928,1536,138400
6120,1124,1068,1068,109500
10300,576,902,1710,140000
8094,888,888,1962,149500
12900,780,780,1560,159900
3068,662,662,1324,122000
8472,816,816,816,110000
5600,0,372,1092,55000
7630,360,1032,1812,140000
24090,1032,1207,2403,244400
15263,1422,1675,1675,173000
10632,689,725,1224,107500
9900,1212,1212,1392,100000
6001,600,600,919,95000
6449,707,942,1884,93369
6048,856,936,1680,114900
6342,780,780,1020,94000
10773,1832,1832,1832,136000
10778,1768,1768,1768,136500
11625,1039,1039,1039,131500
11341,1392,1392,1392,121500
8521,912,912,912,125000
8246,1060,1060,1060,154000
7800,864,892,892,137900
9364,663,663,1352,158000
7832,864,864,864,137250
7424,1319,1373,1373,160250
11227,720,720,1440,163000
11616,672,672,1386,158900
14000,1306,1306,2260,328000
20062,1420,1483,1483,270000
9259,660,756,756,85000
9600,1067,1067,1067,128000
23595,1332,1332,1524,260000
17082,1117,1117,1981,230000
18600,972,1052,1610,124000
10625,458,835,835,83000
11479,663,1074,1074,144500
9571,1144,1144,1144,129000
9350,756,1169,1531,127000
9525,1172,1172,1172,128000
10420,1212,1212,1212,186000
17485,1508,1508,1508,308030
11200,1250,1298,1298,114000
11100,0,930,930,84900
9206,741,977,1732,178000
11980,1433,1433,1433,270000
12361,946,964,1802,218000
9938,1050,1062,1949,236000
9069,936,996,996,147000
10475,1694,1694,1694,245350
6762,1187,1208,1208,206000
10402,1226,1226,1226,198900
7360,1222,1222,1222,187000
12376,1673,1699,3222,320000
14235,676,831,1445,138500
8816,1010,1052,1052,155000
11105,870,965,965,159000
9337,878,892,1692,191000
8750,804,804,1682,200500
15240,1026,1026,1026,150000
10900,689,689,1392,161750
10650,894,894,894,128200
7480,876,876,876,127000
10389,1978,1978,1978,318000
11423,1581,1601,1601,272000
9548,941,941,1829,237000
9375,1040,1044,2098,240000
12137,1649,1661,1661,224900
4435,848,848,848,143750
4426,848,848,848,143000
10635,1657,1668,1668,232000
8400,1473,1484,1484,213000
8773,1414,1414,1414,185500
8777,0,640,640,84900
8842,381,992,992,155891
9825,0,1664,1664,100000
10044,1196,1196,1196,144000
11792,744,792,1120,64000
6305,1008,1096,1096,125200
7819,1029,1117,1117,107000
6410,960,960,960,90000
8546,1121,1121,1121,140000
8741,735,798,1487,113000
12180,672,672,924,80000
8562,1216,1526,1526,144500
4853,1107,1296,1296,104000
6858,806,841,1647,128000
8212,864,864,864,58500
5000,1026,1026,1691,127000
7890,856,856,856,126000
7200,0,862,2650,160000
9839,894,894,1666,100000
9638,804,1699,2447,169000
10452,1528,1225,2133,257500
15600,1032,1102,2177,215000
9042,1152,1188,2340,266500
17500,1902,1902,1902,335000
19645,423,896,1652,203135
3907,982,1034,1034,185000
3907,1191,1191,1191,162500
15602,1501,1801,1801,289000
5436,796,796,1154,125500
8154,480,540,540,82000
9140,629,727,1107,110000
7500,698,698,1128,68400
8712,859,859,1178,102776
8712,540,1044,1044,55993
8712,756,952,952,50138
3811,1594,1646,1646,246000
11050,1049,1036,1916,254900
9620,1243,1285,1285,190000
9196,1560,1560,1560,201000
12328,1012,1034,1034,169900
12760,1958,2048,2048,170000
57200,747,1687,1687,160000
11896,1336,1346,1346,220000
9803,1214,1214,1214,179781
9802,384,744,1444,174000
12003,774,774,1968,269500
11316,817,824,1894,214900
14191,967,993,1908,202900
13214,2002,2018,2018,378500
15300,1068,1264,1264,169000
10114,1430,1430,1430,173500
9400,912,912,1824,139000
11875,1344,1344,1344,166500
1974,546,546,1092,83500
2394,945,945,945,119500
2592,536,536,1112,85000
1476,546,546,1092,76000
1491,630,630,630,75500
1900,546,546,1092,88250
1890,546,546,1092,85500
6953,864,874,874,130000
26142,1188,1188,1188,157900
12887,833,833,833,149900
7700,1216,1216,2432,159000
10475,624,624,1274,136000
10544,864,864,1479,161000
9892,1679,1803,1803,285000
12961,1152,1152,1797,231000
13008,882,882,882,124500
10200,1434,1434,1434,157000
13860,1952,2000,2704,345000
10179,945,945,1608,189500
11792,1008,1008,2283,270000
8400,384,958,1628,189000
14892,1746,1746,1746,377500
8530,384,804,1474,168500
7296,2208,2522,2522,375000
5664,1501,1659,1659,278000
7380,1418,1478,1478,240000
8013,1587,1734,1734,239500
8923,384,751,1382,177500
10141,832,885,1718,185000
7500,952,952,1636,191000
7837,799,799,1571,178000
9765,680,680,1470,185000
8803,707,707,1516,181316
7250,1181,1190,1190,166000
9636,808,808,1593,178000
8125,702,702,1481,174000
9248,1158,1167,1167,173000
10762,978,1005,1983,225000
11851,1424,1442,1442,180500
5814,1220,1360,1360,187500
17423,2216,2234,2234,501837
11844,2046,2046,2046,372500
16158,1530,1530,1530,260000
11900,1122,946,1934,185000
13005,845,1153,2353,260000
17043,1362,1586,1586,181000
11900,1386,1411,1411,82500
16635,1602,1602,1602,215000
13250,832,1154,2050,154000
10928,1427,1671,1671,200000
12388,1043,1539,2673,249000
14115,1372,1472,1472,187500
11088,1140,1707,1707,184000
9600,2524,2524,2524,278000
11880,1271,1601,1601,157000
10400,1090,1370,1370,152000
10304,780,1088,1868,197500
7000,926,1016,1884,240900
8004,832,832,1935,263435
7500,1058,1058,1874,220000
8470,972,972,1811,235000
9373,1621,1621,1621,213000
10140,1116,1116,1116,167900
11050,1176,1193,1193,158000
10140,1064,1350,1350,165000
10448,689,1378,2119,158000
9000,896,896,1792,136000
8750,1002,1002,1002,148500
7930,1026,1026,1026,156000
7830,1180,1180,1180,128000
8510,1043,1050,1050,143000
7038,864,864,864,76500
6960,864,864,864,120500
8120,864,864,864,124500
10500,864,864,864,97000
9000,864,864,864,130000
1680,483,483,987,111000
2368,765,765,1365,125000
1680,630,630,1302,112000
1680,483,483,987,97000
1680,483,483,987,118000
1680,630,630,1302,119500
4928,958,958,958,143750
2308,804,804,1548,146000
2280,855,855,1456,148500
2280,1057,1055,1055,123000
2308,855,855,1322,147000
2349,855,855,1456,137900
2364,804,804,1548,147000
2289,855,855,1441,148500
2364,855,855,1456,138000
2104,836,836,836,128500
7150,892,892,892,100000
10710,864,1120,1120,148800
12456,1700,1718,1718,337500
14257,1776,1794,2772,462000
13518,1926,1966,3140,485000
15431,3094,2402,2402,555000
13173,1652,1652,1652,325000
14230,1566,1600,1600,256300
12704,2042,2042,2042,253293
12350,1365,1365,2690,398800
11308,1104,1130,2184,335000
12350,2020,2020,2020,404000
12220,2006,2020,2020,402861
13478,1722,1728,2296,451950
13693,2630,2674,2674,610000
13891,1734,1734,2822,582933
11578,1736,1736,1736,360000
16870,1782,1782,1782,296000
23303,1508,1508,2520,409900
11146,1709,1717,1717,255500
10367,1739,1743,1743,335000
9591,1713,1713,1713,274900
10872,1504,1531,1531,300000
13514,1774,1808,1808,324000
8834,1462,1462,2224,350000
11362,1836,1836,1836,280000
10655,3206,1629,1629,284000
12878,1760,1760,1760,269500
9541,1502,1502,1502,233170
13472,2392,2392,2392,386250
15274,2452,2452,2452,445000
13262,1082,1105,2400,290000
9658,1598,1606,1606,255900
6904,1358,1358,1358,213000
5381,1306,1306,1306,196000
5122,1306,1306,1306,184500
10307,1350,1358,1358,212500
5001,1314,1314,1314,230000
14836,2492,2492,2492,552000
15262,2200,2200,2200,382500
7390,1884,1884,1884,320000
6472,1451,1456,1456,248500
16770,1712,1712,1712,286500
6240,1324,1324,1324,254000
3480,1405,1405,1405,173000
2268,764,764,1626,173000
10928,728,728,1456,184000
8918,745,745,1490,167800
12589,742,742,1484,174000
11911,684,684,1560,174000
3684,1373,1555,1555,174000
3635,1386,1569,1569,175900
3182,1373,1555,1555,192500
3182,1346,1504,1504,181000
3182,1220,1220,1220,180000
3182,1145,1145,1145,160200
7795,716,716,1432,188500
8068,1010,1010,2267,200000
9434,384,744,1374,170000
7984,868,868,1630,189500
7750,408,779,1419,184100
10125,846,846,1594,195500
8965,782,806,1489,192000
8174,698,698,1342,178000
5063,1314,1314,1314,207500
8795,952,980,2256,236000
12891,870,878,2004,257500
12224,992,1022,2054,244000
9734,384,744,1374,167000
8123,982,1007,1800,179000
8433,794,819,1514,190000
7750,384,774,1430,156000
15896,1177,1223,2312,245000
24682,841,892,1675,181000
8755,992,1022,2060,214000
7848,384,774,1430,168000
9430,1252,1268,2365,337000
15138,1462,1490,2794,403000
12720,1455,1466,2687,327000
16545,1284,1310,2450,340000
12203,1225,1276,2612,336000
10208,1264,1277,2344,265000
10750,2024,2063,2063,315000
9900,1347,1372,2646,260000
9085,1070,1094,2061,260000
11692,1173,1215,2232,263550
46589,1629,1686,2448,402000
29959,973,979,1850,248000
9612,1468,1468,1468,244600
11194,1696,1696,1696,275000
